x,y
42.91819,129.50194
36.00438,129.37608
35.09825,128.86395
35.08585,128.98962
34.92345,127.73993
34.9232,127.74575
33.95827,131.23514
33.95372,131.22745
33.95019,131.22618
33.94438,130.82651
33.91711,130.84235
33.80058,130.9888
33.80031,130.9924
33.78441,130.99785
36.98354,126.68909
42.32297,125.23398
42.3209,125.24329
42.31885,125.2525
37.01421,128.33195
36.98814,126.72459
36.98211,126.68638
36.00404,129.37712
36.00013,129.39116
35.08242,128.98598
35.09743,128.86281
33.95247,131.22591
34.92278,127.70628
33.91064,130.8215
33.78246,130.99475
33.78131,130.99976
33.79758,130.9924
33.90905,130.82484
34.91542,127.74741
35.28175,128.18489
35.27886,128.18877
42.71735,130.74214
